tick_unix,tick_iso,node,presence_online,ps_received,ps_completed,ps_timed_out,ps_max_ms,ms_received,ms_completed,ms_timed_out,ms_max_ms,bk_received,bk_completed,bk_timed_out,bk_max_ms,rd_pubsub_latest,rd_pubsub_max,rd_pubsub_cap,rd_ms_latest,rd_ms_max,rd_ms_cap,rd_bk_latest,rd_bk_max,rd_bk_cap
1777323356,2026-04-27T20:55:56Z,saorsa-6,5,4725,4725,0,138,11699,11699,0,1,368,368,0,2,0,15,10000,0,1,4000,0,0,4000
1777323356,2026-04-27T20:55:56Z,saorsa-7,3,0,0,0,0,0,0,0,0,174,174,0,5,0,0,0,0,0,0,0,0,4000
1777323427,2026-04-27T20:57:07Z,saorsa-2,5,4327,4327,0,207,12148,12148,0,14,383,383,0,3,0,29,10000,0,1,4000,0,0,4000
1777323427,2026-04-27T20:57:07Z,saorsa-3,5,4754,4754,0,203,12077,12077,0,83,379,379,0,7,0,55,10000,0,1,4000,0,0,4000
1777323427,2026-04-27T20:57:07Z,saorsa-6,5,4918,4918,0,138,11998,11998,0,1,377,377,0,2,0,18,10000,0,1,4000,0,0,4000
1777323427,2026-04-27T20:57:07Z,saorsa-7,3,0,0,0,0,0,0,0,0,178,178,0,5,0,0,0,0,0,0,0,0,4000
1777323497,2026-04-27T20:58:17Z,saorsa-2,5,4507,4507,0,207,12455,12455,0,14,391,391,0,3,0,29,10000,0,1,4000,0,0,4000
1777323497,2026-04-27T20:58:17Z,saorsa-3,5,4907,4907,0,203,12382,12382,0,83,387,387,0,7,0,55,10000,0,1,4000,0,0,4000
1777323497,2026-04-27T20:58:17Z,saorsa-6,5,5089,5089,0,138,12299,12299,0,1,385,385,0,2,0,18,10000,0,1,4000,0,0,4000
1777323497,2026-04-27T20:58:17Z,saorsa-7,3,0,0,0,0,0,0,0,0,183,183,0,5,0,0,0,0,0,0,0,0,4000
1777323568,2026-04-27T20:59:28Z,saorsa-2,5,4621,4621,0,207,12759,12759,0,14,400,400,0,3,0,29,10000,0,1,4000,0,0,4000
1777323568,2026-04-27T20:59:28Z,saorsa-3,5,5142,5142,0,203,12689,12689,0,83,398,398,0,7,0,55,10000,0,1,4000,0,0,4000
1777323568,2026-04-27T20:59:28Z,saorsa-6,5,5264,5264,0,138,12600,12600,0,2,396,396,0,2,0,18,10000,0,1,4000,0,0,4000
1777323568,2026-04-27T20:59:28Z,saorsa-7,3,0,0,0,0,0,0,0,0,188,188,0,5,0,0,0,0,0,0,0,0,4000
1777323638,2026-04-27T21:00:38Z,saorsa-2,5,4759,4759,0,207,13063,13063,0,14,411,411,0,3,0,29,10000,0,1,4000,0,0,4000
1777323638,2026-04-27T21:00:38Z,saorsa-3,5,5211,5211,0,207,12994,12994,0,83,407,407,0,7,0,55,10000,0,1,4000,0,0,4000
1777323638,2026-04-27T21:00:38Z,saorsa-6,5,5381,5381,0,138,12902,12902,0,2,405,405,0,2,0,18,10000,0,1,4000,0,0,4000
1777323638,2026-04-27T21:00:38Z,saorsa-7,3,0,0,0,0,0,0,0,0,192,192,0,5,0,0,0,0,0,0,0,0,4000
1777323709,2026-04-27T21:01:49Z,saorsa-2,5,4880,4880,0,207,13370,13370,0,14,419,419,0,3,0,29,10000,0,1,4000,0,0,4000
